date,total_tvl_usd,equal_weight_system_return,downside_breadth,protocol_count,worst_protocol_drawdown_7d,stablecoin_supply_usd,stablecoin_supply_log_flow,avg_pairwise_correlation,edge_count,edge_density,network_protocol_count,possible_edges,max_degree,max_weighted_degree,rolling_system_volatility_30d,stablecoin_flow_7d,system_tvl_momentum_7d,forward_7d_system_return,forward_7d_stress_event,correlation_component,network_component,stablecoin_stress_component,volatility_component,breadth_component,risk_score_original,risk_score_equal,risk_score_calibrated,tvl_momentum_stress_component,risk_score,risk_regime
2022-03-18,65743756873.0,0.0849209945831835,0.3333333333333333,6,-0.1127534039759874,185427952276.0,0.0039362226916618,,,,,,,,,,,0.1536655566393918,0.0,,,,,33.33333333333333,,33.33333333333333,,,,Normal
2022-03-19,67729227830.0,0.0572159625889904,0.0,6,-0.0899473267233834,186033730246.0,0.0032615935130041,,,,,,,,,,,0.0999763547377704,0.0,,,,,0.0,,0.0,,,,Normal
2022-03-20,67942662786.0,0.0102372592143763,0.5,6,-0.0790606005302184,186236571910.0,0.0010897548523169,,,,,,,,,,,0.09875646162590292,0.0,,,,,50.0,,50.0,,,,Normal
2022-03-21,66989898672.0,-0.0111186079545779,0.8333333333333334,6,-0.0945974411310394,186495318153.0,0.0013883774984713,,,,,,,,,,,0.1465194332805356,0.0,,,,,83.33333333333334,,83.33333333333334,,,,Normal
2022-03-22,69341214521.0,0.0333064149230216,0.0,6,-0.0926134377863618,186460445884.0,-0.0001870048540028,,,,,,,,,,,0.1331206946271408,0.0,,,,,0.0,,0.0,,,,Normal
2022-03-23,70281150519.0,0.0326624244079574,0.0,6,-0.0660616606605117,186233178424.0,-0.0012195941832488,,,,,,,,,,,0.1298336255850436,0.0,,,,,0.0,,0.0,,,,Normal
2022-03-24,70799973999.0,0.0197562890672575,0.1666666666666666,6,-0.0774684644260694,185599897164.0,-0.0034062697155782,,,,,,,,,0.0048630798026243,0.2269807368302088,0.12588610716010218,0.0,,,56.3441021030119,,16.66666666666666,,36.50538438483928,,0.0,,Normal
2022-03-25,70644911719.0,0.0116058143923665,0.5,6,-0.0351931395658451,185879702771.0,0.0015064388998151,,,,,,,,,0.0024332960107776,0.1536655566393918,0.0864756589549664,0.0,,,63.41893798512086,,50.0,,56.70946899256043,,0.0,,Normal
2022-03-26,69639806946.0,0.003526760687369,0.8333333333333334,6,-0.0403303722039379,185461986125.0,-0.0022497706811759,,,,,,,,,-0.0030780681834024002,0.09997635473777042,0.12922588203381546,0.0,,,79.46645517212136,,83.33333333333334,,81.39989425272735,,8.324999208343812,,Normal
2022-03-27,70276941580.0,0.0090173661025088,0.0,6,-0.0335790752189004,185691609319.0,0.001237348774822,,,,,,,,,-0.0029304742608973,0.0987564616259029,0.1263559287398195,0.0,,,79.03670385744712,,0.0,,39.51835192872356,,8.870363760122173,,Normal
