date,correlation,density,network_protocols,network_pairs,residual_correlation,residual_density,residual_network_protocols,residual_network_pairs,stablecoin_supply_usd,stablecoin_supply_log_flow,equal_weight_available,lagged_tvl_weighted,capped_lagged_tvl_weighted,category_balanced,retrospective_common_history,stablecoin_contraction,volatility,breadth,tvl_momentum,residual_volatility,residual_breadth,residual_equal_weight_return,eth_log_return,forward_return,label
2021-03-01,0.27323589113358454,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.6666666666666666,,,,,-0.0451274228965966,,
2021-03-02,0.27180698039928136,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.0,,,,,0.104017900085321,,
2021-03-03,0.26739526316408274,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.3333333333333333,,,,,-0.0474974875042949,,
2021-03-04,0.2610965543458836,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.3333333333333333,,,,,0.0475534969215687,,
2021-03-05,0.2673276325474768,0.3333333333333333,3,3,,,0,0,,,,,,,,,,1.0,,,,,-0.0150820543248028,,
2021-03-06,0.3025858020308661,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.3333333333333333,,,,,-0.0048297458894768,,
2021-03-07,0.28690984211764164,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.3333333333333333,,,,,0.0754082411523142,,
2021-03-08,0.24362718560447008,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.3333333333333333,,,,,0.0400813504869259,,
2021-03-09,0.23857958285046058,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.0,,,,,0.0615629665262889,,
2021-03-10,0.23654734387649867,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.0,,,,,0.0173637867862194,,
2021-03-11,0.2521716943354773,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.6666666666666666,,,,,-0.0365108860282433,,
2021-03-12,0.2591380410066612,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.3333333333333333,,,,,0.0160246127474727,,
2021-03-13,0.25657636580357723,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.0,,,,,-0.0347442407354619,,
2021-03-14,0.2746475628951493,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.0,,,,,0.0859881779365821,,
2021-03-15,0.3162101566609418,0.3333333333333333,3,3,,,0,0,,,,,,,,,,1.0,,,,,-0.037533631749053,,
2021-03-16,0.3137457707003519,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.6666666666666666,,,,,-0.0360038587210835,,
2021-03-17,0.2856223341201963,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.3333333333333333,,,,,0.009725251702267,,
2021-03-18,0.28404244754683977,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.3333333333333333,,,,,0.0111092239019089,,
2021-03-19,0.2793406809959788,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.3333333333333333,,,,,-0.0220193355154647,,
2021-03-20,0.27290975868351186,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.0,,,,,0.0193570672119568,,
2021-03-21,0.27545662722740355,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.0,,,,,-0.0003813328593377,,
2021-03-22,0.2733096513334932,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.6666666666666666,,,,,-0.0181649026071797,,
2021-03-23,0.25088739342050054,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.6666666666666666,,,,,-0.0634504310042805,,
2021-03-24,0.22950654745332275,0.3333333333333333,3,3,,,0,0,,,,,,,,,,0.6666666666666666,,,,,-0.0038445326977531,,
