date,total_tvl_usd,equal_weight_system_return,downside_breadth,protocol_count,worst_protocol_drawdown_7d,stablecoin_supply_usd,stablecoin_supply_log_flow
2022-03-18,65743756873.0,0.08492099458318352,0.3333333333333333,6,-0.11275340397598743,185427952276.0,0.003936222691661867
2022-03-19,67729227830.0,0.05721596258899047,0.0,6,-0.08994732672338346,186033730246.0,0.003261593513004123
2022-03-20,67942662786.0,0.010237259214376375,0.5,6,-0.07906060053021846,186236571910.0,0.0010897548523169044
2022-03-21,66989898672.0,-0.011118607954577982,0.8333333333333334,6,-0.0945974411310394,186495318153.0,0.001388377498471363
2022-03-22,69341214521.0,0.033306414923021686,0.0,6,-0.09261343778636189,186460445884.0,-0.00018700485400284137
2022-03-23,70281150519.0,0.0326624244079574,0.0,6,-0.06606166066051178,186233178424.0,-0.0012195941832488482
2022-03-24,70799973999.0,0.019756289067257564,0.16666666666666666,6,-0.07746846442606947,185599897164.0,-0.003406269715578213
2022-03-25,70644911719.0,0.011605814392366553,0.5,6,-0.03519313956584513,185879702771.0,0.0015064388998151518
2022-03-26,69639806946.0,0.003526760687369044,0.8333333333333334,6,-0.04033037220393798,185461986125.0,-0.002249770681175921
2022-03-27,70276941580.0,0.009017366102508867,0.0,6,-0.03357907521890047,185691609319.0,0.001237348774822067
2022-03-28,71989547695.0,0.03664436370005485,0.0,6,-0.008915119507511449,185597675271.0,-0.0005059884780022896
2022-03-29,72785335574.0,0.019907676269626817,0.16666666666666666,6,-0.012160360896874556,185430949275.0,-0.000898723150679324
2022-03-30,74375594371.0,0.029375355365860206,0.0,6,0.0,186285614394.0,0.004598485559163094
2022-03-31,74843618435.0,0.01580877064231613,0.0,6,0.0,187096302148.0,0.0043424118414990675
2022-04-01,71515693735.0,-0.027804633812769347,0.8333333333333334,6,-0.14459330023266892,186622372566.0,-0.0025362919657124865
2022-04-02,74065870719.0,0.04627698376621817,0.0,6,-0.09396958286278412,187391942652.0,0.004115196348015374
2022-04-03,74497583027.0,0.006147412808512875,0.6666666666666666,6,-0.10300889572190297,187056596134.0,-0.001791149239051912
2022-04-04,74837757163.0,0.013437996405399761,0.16666666666666666,6,-0.09712744166173237,187011943815.0,-0.00023873870397212542
2022-04-05,75223887886.0,0.0024172127870253327,0.5,6,-0.0940823566525929,186796803621.0,-0.0011510710716649076
2022-04-06,73549308842.0,-0.018337278599145388,1.0,6,-0.1267282042559985,186882362226.0,0.0004579254842916815
2022-04-07,71294892641.0,-0.03321902351690343,1.0,6,-0.15586637700060557,186004443848.0,-0.004708774812304244
2022-04-08,71977111863.0,0.02257580041561669,0.16666666666666666,6,-0.0764686957123043,186109968175.0,0.0005671606711226012
2022-04-09,70894917125.0,-0.015339244900388868,0.8333333333333334,6,-0.11166488888536596,186415512678.0,0.0016403955553114219
2022-04-10,71755897121.0,0.026591127900227204,0.0,6,-0.0949777865736442,186820952888.0,0.002172565688937693
2022-04-11,71085255671.0,-0.0032785892851438067,0.6666666666666666,6,-0.11253944516699466,186823358795.0,1.2878060362746683e-05
2022-04-12,67720954407.0,-0.050750933352502185,1.0,6,-0.18130334262596193,186028430149.0,-0.004264052763217879
2022-04-13,68273743578.0,0.015840557258244726,0.0,6,-0.1548982687570989,186322317740.0,0.00157855276882137
2022-04-14,69592655110.0,0.021415614850789282,0.0,6,-0.06374914585058344,185838228053.0,-0.0026015114471066906
2022-04-15,67904369632.0,-0.014159954501289354,0.8333333333333334,6,-0.10501487027845158,185898595642.0,0.00032478670759923835
2022-04-16,68186916260.0,0.007596169668178884,0.16666666666666666,6,-0.08013688795993013,185872684306.0,-0.00013939396311397586
2022-04-17,68632491132.0,0.006844181813111927,0.0,6,-0.07245725950543158,185876599678.0,2.1064583948639826e-05
2022-04-18,67602106736.0,-0.009458973428274663,0.8333333333333334,6,-0.07848137542639211,186014332758.0,0.0007407176367286891
2022-04-19,69982845325.0,0.0324966587553699,0.0,6,-0.016295593702181144,185805045771.0,-0.0011257455699618922
2022-04-20,70553961898.0,0.10482214028220647,0.16666666666666666,6,-0.014547585931852347,185990856370.0,0.0009995301906215524
2022-04-21,71327097114.0,0.3592524812700734,0.5,6,-0.019097576709375286,186135614099.0,0.0007780028984191455
2022-04-22,69822662213.0,0.0015156022992961436,0.8333333333333334,6,-0.03519596568628047,186550806481.0,0.0022281066915235616
2022-04-23,69868527333.0,0.009345749380413477,0.5,6,-0.04360270901982832,186884288700.0,0.0017860255340271427
2022-04-24,69325753727.0,-0.0013279030378402828,0.8333333333333334,6,-0.04771849116904747,187119500222.0,0.0012578030489370914
2022-04-25,68951387749.0,0.0009984148207527544,0.6666666666666666,6,-0.05503478542680884,186963531157.0,-0.0008338740918707009
2022-04-26,71538181825.0,0.04034705117534668,0.0,6,-0.03436565363248556,187015867133.0,0.00027988694875146733
2022-04-27,68294107807.0,-0.04410980352757062,1.0,6,-0.06719607739121025,186538263699.0,-0.0025570789067515674
2022-04-28,69697130463.0,0.01802740930606109,0.0,6,-0.04495814581597524,186459057703.0,-0.00042470008574230965
2022-04-29,70086379987.0,0.004304079823006118,0.16666666666666666,6,-0.0376069982696241,186357929000.0,-0.0005425112539783295
2022-04-30,68528128012.0,-0.01881732545987776,0.8333333333333334,6,-0.06331835805367403,186793183826.0,0.002332861987737979
2022-05-01,66691486715.0,-0.0256935338824455,1.0,6,-0.08963523173914234,187059239551.0,0.0014233197554919979
2022-05-02,67478056342.0,0.015176649035297867,0.16666666666666666,6,-0.06008116765319027,186861568501.0,-0.0010572884105798678
2022-05-03,67888571104.0,0.005569672025552717,0.3333333333333333,6,-0.06443109656658819,186591731522.0,-0.0014450911315631117
2022-05-04,67335411777.0,-0.007925175125083265,0.8333333333333334,6,-0.05336057304860564,186657318211.0,0.0003514366063192752
2022-05-05,69800439351.0,0.03717722738622567,0.0,6,-0.027726545576410966,186220855767.0,-0.002341046882308472
2022-05-06,67100640339.0,-0.038708465510146735,1.0,6,-0.05869278015657198,186443085966.0,0.0011926575150191928
2022-05-07,66205798912.0,-0.012332547273888035,0.8333333333333334,6,-0.07774515534106552,185659333778.0,-0.004212567859999218
2022-05-08,62948441062.0,-0.038616350942512895,1.0,6,-0.1421616894011677,185444316534.0,-0.0011587989925721692
2022-05-09,61095606455.0,-0.028738270414478916,1.0,6,-0.17168078544936205,180003932412.0,-0.029775959189721597
2022-05-10,54509117958.0,-0.10666656260996009,1.0,6,-0.3639361553004411,176977547082.0,-0.016955825501623053
2022-05-11,53706586571.0,-0.00020614106989135886,0.5,6,-0.4019855320365723,176021893184.0,-0.005414491490402283
2022-05-12,43524989592.0,-0.1919991108057133,1.0,6,-0.5232295121686028,160111332612.0,-0.09473897831068881
2022-05-13,37768929804.0,-0.13365081980116814,0.8333333333333334,6,-0.5443842904110324,159859520640.0,-0.0015739685126118104
2022-05-14,37690243975.0,-0.00044938278116878435,0.3333333333333333,6,-0.5402790566592603,158564041612.0,-0.008136873832431774
2022-05-15,37576985226.0,0.005583012209605939,0.3333333333333333,6,-0.5319338665358694,158008821059.0,-0.0035076987812486895
2022-05-16,38802268741.0,0.03177572210610301,0.0,6,-0.5036113015627028,158064097460.0,0.0003497699317140234
2022-05-17,37734572316.0,-0.027538291465818543,1.0,6,-0.47775154895820104,159413236718.0,0.008499172911636588
2022-05-18,38545339466.0,0.025694099195377715,0.0,6,-0.4652328761208021,158263160172.0,-0.0072405855880707335
